bpolicyc,fec_effec,fec_exp,uso_veh,tipo_veh,edad_asegurado,canal,prima_mensual_uf,deducible,asegurado_es_contratante,sucursal,intermediario,pol_colectiva,asegurado_empresa,contratante_empresa
74-811694-0,2025-10-01 00:00:00.000,2027-10-01 00:00:00.000,Comercial,Semi Remolque,Empresa,CORREDORES,0.0012328767123287,10,1,Advance,5020,1,1,1
74-735070-0,2025-04-15 00:00:00.000,2025-10-26 00:00:00.000,Escuela de Conductores,Automóvil,55,DEALERS,0.000710502283105,18,1,HDI.CL,8696,0,0,0
3-500830-0,2024-05-29 00:00:00.000,2024-05-23 00:00:00.000,Escuela de Conductores,Camioneta,54,DEALERS,0.0021013698630136,10,1,Los Angeles,7512,0,1,1
91-78683-0,2025-12-23 00:00:00.000,2026-12-23 00:00:00.000,Particular,Camioneta,54,DEALERS,0.0036164383561643,20,1,Casa Matriz Santiago Dealer,7381,0,1,1
85-97052-9,2025-04-15 00:00:00.000,2026-11-30 00:00:00.000,Comercial,Remolque,54,DEALERS,0.0010520547707558,100,0,Corporate,2019,1,1,1
94-89504-0,2026-02-19 00:00:00.000,2024-05-23 00:00:00.000,Taxi Colectivo,Mini Bus,61,DEALERS,0.0009908675799086,10,1,LaSerena Dealer,7883,0,0,0
74-823071-0,2026-01-29 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,47,DEALERS,0.001029748946446971,3,1,HDI.CL,1080,0,0,0
90-480882-0,2025-12-04 00:00:00.000,2026-12-04 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0008219178082191,10,1,Temuco Dealer,8579,0,0,0
74-734150-0,2024-10-13 00:00:00.000,2025-10-13 00:00:00.000,Particular,Automóvil,28,DEALERS,0.0017433789954337,3,0,HDI.CL,1080,0,0,0
69-524808-0,2024-06-05 00:00:00.000,2025-06-05 00:00:00.000,Particular,Station Wagon,38,MASIVO,0.0024739726027397,10,0,CM Compara Online,5336,0,0,1
74-811694-0,2025-04-15 00:00:00.000,2026-11-06 00:00:00.000,Particular,Automóvil,74,DEALERS,0.0014246575342465,3,1,LaSerena Dealer,8616,0,0,0
74-811694-0,2024-11-10 00:00:00.000,2025-11-10 00:00:00.000,Escuela de Conductores,Camioneta,54,DEALERS,0.004651506849315,-1,1,Concepcion Dealer,8579,0,0,0
83-139764-0,2026-03-16 00:00:00.000,2027-03-16 00:00:00.000,Particular,Station Wagon,67,,0.0014341943551953683,10,1,Valdivia Dealer,6872,0,0,0
74-728607-0,2024-09-02 00:00:00.000,2025-09-02 00:00:00.000,Particular,Automóvil,54,DEALERS,0.0010767123287671,10,1,HDI.CL,1080,0,0,0
96-485258-0,2024-10-04 00:00:00.000,2025-10-04 00:00:00.000,Particular,Station Wagon,48,DEALERS,0.0018501874224878933,5,1,Casa Matriz Santiago Dealer,6973,0,0,0
74-811694-0,2024-09-09 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,26,DEALERS,0.001324043196347,10,1,Curico Dealer,8568,0,0,0
74-811694-0,2025-04-15 00:00:00.000,2026-10-28 00:00:00.000,Particular,Station Wagon,38,,0.0011762557077625,3,0,BancoEstado,6883,0,0,0
94-89185-0,2026-02-04 00:00:00.000,2028-02-04 00:00:00.000,Particular,Station Wagon,50,DEALERS,0.0018351598173515,5,0,Valdivia Dealer,7883,0,0,0
3-557227-0,2025-04-15 00:00:00.000,2024-05-23 00:00:00.000,Comercial,Camioneta,Empresa,,0.0014980106174169322,3,1,Kontakto,3427,0,1,1
96-532380-0,2025-06-30 00:00:00.000,2027-06-30 00:00:00.000,Particular,Station Wagon,32,DEALERS,0.0011442922374429,10,1,Casa Matriz Santiago Dealer,8650,0,0,0
69-592353-0,2025-02-12 00:00:00.000,2026-02-12 00:00:00.000,Particular,Automóvil,30,CORREDORES,0.0011205479452054,5,1,Banca Seguros,2556,0,0,0
69-646658-0,2025-07-04 00:00:00.000,2024-05-23 00:00:00.000,Particular,Mini Bus,54,CORREDORES,0.0009022831050228,3,0,Banca Seguros,6953,0,0,1
74-811694-0,2024-06-04 00:00:00.000,2024-05-23 00:00:00.000,Particular,Mini Bus,54,DEALERS,0.0017196347031963,0,1,HDI.CL,8414,0,0,0
3-481838-0,2023-12-29 00:00:00.000,2024-12-29 00:00:00.000,Particular,Camioneta,Empresa,CORREDORES,0.0019080145719489,-20,1,HDI Santiago,5976,0,1,1
116-2642-0,2025-04-15 00:00:00.000,2025-11-21 00:00:00.000,Particular,Mini Bus,64,CORREDORES,0.0037050228310502,0,0,Banca Seguros,2634,0,0,1
83-81956-0,2025-01-01 00:00:00.000,2026-01-01 00:00:00.000,Comercial,Chasis Combinado,Empresa,,0.0002020182648401,-12,0,Valdivia Dealer,6978,0,1,0
94-77323-0,2025-03-09 00:00:00.000,2026-03-09 00:00:00.000,Particular,Station Wagon,69,DEALERS,0.001448401826484,-1,0,Valdivia Dealer,7615,0,0,0
69-597011-0,2025-03-29 00:00:00.000,2026-03-29 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0012538812785388,5,0,CM Falabella,2457,0,0,1
74-811694-0,2024-10-30 00:00:00.000,2025-10-30 00:00:00.000,Comercial,Furgón,Empresa,DEALERS,0.001565233884011136,0,1,Valdivia Dealer,5930,0,1,1
85-91956-18,2025-08-01 00:00:00.000,2026-08-01 00:00:00.000,Comercial,Tracto Camión,Empresa,CORREDORES,0.0070337899543378,10,1,Advance,6023,1,1,1
96-462639-0,2024-06-02 00:00:00.000,2025-06-02 00:00:00.000,Particular,Automóvil,59,DEALERS,0.0014018264840182,3,1,Casa Matriz Santiago Dealer,7381,0,0,0
74-811694-0,2025-03-31 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,51,MASIVO,0.0015004566210045,12,0,CM Falabella,2457,0,0,1
74-798508-0,2025-04-15 00:00:00.000,2026-08-08 00:00:00.000,Transporte de Carga,Mini Bus,Empresa,CORREDORES,0.000270260913242,0,1,Osorno,6638,0,1,1
74-811694-0,2024-06-30 00:00:00.000,2025-06-30 00:00:00.000,Escuela de Conductores,Automóvil,80,MASIVO,0.0011168949771689,5,1,CM Cencosud,5559,0,0,0
96-516169-0,2025-04-01 00:00:00.000,2026-04-01 00:00:00.000,Particular,Automóvil,66,DEALERS,0.0012465753424657,10,1,Casa Matriz Santiago Dealer,9548,0,0,0
69-556554-0,2024-10-06 00:00:00.000,2025-10-06 00:00:00.000,Particular,Station Wagon,30,MASIVO,0.0015223744292237,10,0,Valdivia Dealer,2850,0,0,1
69-548212-0,2025-04-15 00:00:00.000,2025-09-01 00:00:00.000,Particular,Station Wagon,48,MASIVO,0.0008986301369863,5,0,CM Falabella,2457,0,0,1
74-811694-0,2025-12-31 00:00:00.000,2026-12-31 00:00:00.000,Otros usos comerciales distint,Station Wagon,Empresa,CORREDORES,0.0022047338489142396,-6,1,Valdivia Dealer,2556,0,1,1
90-455550-0,2025-05-20 00:00:00.000,2027-05-20 00:00:00.000,Particular,Mini Bus,54,DEALERS,0.0022077625570776,3,1,Valdivia Dealer,7374,0,0,0
74-791037-0,2025-07-26 00:00:00.000,2026-07-26 00:00:00.000,Particular,Station Wagon,61,DEALERS,0.0019322425491423564,3,0,HDI.CL,622,0,0,0
74-819924-0,2025-12-01 00:00:00.000,2027-12-01 00:00:00.000,Particular,Automóvil,26,DIRECTO,0.00257550223747769,0,1,HDI.CL,1080,0,0,0
96-470139-0,2024-07-21 00:00:00.000,2024-05-23 00:00:00.000,Particular,Mini Bus,54,DEALERS,0.0017657534246575,10,1,Casa Matriz Santiago Dealer,7381,0,0,0
74-733299-0,2025-04-15 00:00:00.000,2025-09-13 00:00:00.000,Particular,Mini Bus,54,CORREDORES,0.0013691694179071355,0,0,Partners,5591,0,0,0
90-397774-0,2024-02-23 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0018260517904615356,10,1,Valdivia Dealer,8568,0,0,0
69-637403-0,2025-06-28 00:00:00.000,2026-06-28 00:00:00.000,Particular,Mini Bus,35,MASIVO,0.0008748858447488,15,0,CM Falabella,2457,0,0,1
74-836659-41,2025-04-15 00:00:00.000,2027-03-14 00:00:00.000,Transporte de Carga,Semi Remolque,Empresa,CORREDORES,0.000402240456621,0,1,Corporate,2639,1,1,1
3-503966-0,2024-06-15 00:00:00.000,2026-02-15 00:00:00.000,Comercial,Mini Bus,54,CORREDORES,-0.00022890371436722718,10,1,Partners,6646,0,1,1
96-521474-0,2025-04-30 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,40,DEALERS,0.001558904109589,8,1,Casa Matriz Santiago Dealer,8650,0,0,0
85-85734-5,2025-04-15 00:00:00.000,2026-01-26 00:00:00.000,Comercial,Carro de Arrastre,Empresa,CORREDORES,0.0004566210045662,0,1,Advance,6999,1,1,1
95-378828-0,2025-02-18 00:00:00.000,2026-02-18 00:00:00.000,Particular,Moto,54,DEALERS,0.0013068493150684,10,1,Casa Matriz Santiago Dealer,8521,0,0,0
96-561506-0,2025-12-11 00:00:00.000,2026-12-11 00:00:00.000,Escuela de Conductores,Mini Bus,71,DEALERS,0.0012593607305936,3,0,Casa Matriz Santiago Dealer,2206,0,0,0
3-559155-0,2025-07-07 00:00:00.000,2026-07-07 00:00:00.000,Comercial,Camioneta,Empresa,,0.0016118721461187,5,1,Valdivia Dealer,894,0,1,1
74-752253-0,2024-12-20 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,Empresa,CORREDORES,0.0031963470319634,3,1,Partners,6953,0,1,1
69-497624-0,2025-04-15 00:00:00.000,2025-02-22 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0011338797814207,8,0,CM Falabella,2457,0,0,1
95-354888-0,2024-06-19 00:00:00.000,2025-06-19 00:00:00.000,Particular,Camioneta,54,DEALERS,0.0030118721461187,0,1,Casa Matriz Santiago Dealer,6097,0,1,1
69-526548-0,2024-06-10 00:00:00.000,2025-06-10 00:00:00.000,Particular,Station Wagon,62,MASIVO,0.0012246575342465,5,0,CM Falabella,3741,0,0,1
3-583371-0,2025-04-15 00:00:00.000,2026-12-01 00:00:00.000,Particular,Jeep,67,CORREDORES,0.0011908675799086,0,1,Valdivia Dealer,4952,0,0,0
69-633725-0,2025-06-30 00:00:00.000,2024-05-23 00:00:00.000,Escuela de Conductores,Automóvil,41,MASIVO,0.0013716894977168,-3,0,CM Cencosud,5365,0,0,1
85-90545-0,2025-05-28 00:00:00.000,2026-05-28 00:00:00.000,Escuela de Conductores,Tracto Camión,Empresa,CORREDORES,0.0012867579908675,5,1,Rancagua,7000,0,1,1
74-774473-1,2025-03-31 00:00:00.000,2026-03-31 00:00:00.000,Escuela de Conductores,Camión,Empresa,CORREDORES,0.0005114346118721,0,1,Iquique,6418,1,1,1
90-430134-0,2024-10-23 00:00:00.000,2026-10-23 00:00:00.000,Escuela de Conductores,Station Wagon,35,DEALERS,0.0019706328767123,10,1,Casa Matriz Santiago Dealer,8568,0,0,0
114-4021-0,2025-02-13 00:00:00.000,2026-02-13 00:00:00.000,Particular,Automóvil,57,DEALERS,0.0018465753424657,0,1,Casa Matriz Santiago Dealer,2206,0,0,0
74-811694-0,2025-03-10 00:00:00.000,2026-03-10 00:00:00.000,Escuela de Conductores,Mini Bus,54,,0.0015532284018264,-9,1,Valdivia Dealer,6483,0,1,1
95-366258-0,2024-10-29 00:00:00.000,2025-10-29 00:00:00.000,Escuela de Conductores,Camioneta,62,DEALERS,0.0016100456621004,2,1,Casa Matriz Santiago Dealer,8522,0,0,0
74-820952-0,2025-12-12 00:00:00.000,2024-05-23 00:00:00.000,Particular,Station Wagon,39,DIRECTO,0.0006385346575342,-9,1,HDI.CL,8414,0,0,0
96-539352-0,2025-08-09 00:00:00.000,2027-08-09 00:00:00.000,Particular,Station Wagon,54,DEALERS,0.0011346021517336766,5,1,Casa Matriz Santiago Dealer,7381,0,0,0
69-743077-0,2026-03-16 00:00:00.000,2029-03-16 00:00:00.000,Particular,Station Wagon,Empresa,CORREDORES,0.0055769464720194,0,1,Banca Seguros,2446,0,1,1
74-828577-0,2026-02-23 00:00:00.000,2027-02-23 00:00:00.000,Escuela de Conductores,Station Wagon,41,DIRECTO,0.0013534246575342,3,1,HDI.CL,1080,0,0,0
69-647052-0,2025-07-17 00:00:00.000,2027-07-17 00:00:00.000,Particular,Station Wagon,45,DEALERS,0.0009945205479452,3,0,Banca Seguros,6953,0,0,1
90-389801-0,2024-01-26 00:00:00.000,2025-01-26 00:00:00.000,Particular,Mini Bus,40,DEALERS,0.0009990892531876,-10,1,Valdivia Dealer,8403,0,0,0
116-37487-0,2025-04-15 00:00:00.000,2024-05-23 00:00:00.000,Particular,Automóvil,62,MASIVO,0.0014785311415525,3,0,CM Falabella,2457,0,0,1
83-132932-0,2026-02-05 00:00:00.000,2024-05-23 00:00:00.000,Escuela de Conductores,Station Wagon,66,,0.0011808219178082,21,0,Valdivia Dealer,6872,0,0,0
116-26153-0,2025-04-15 00:00:00.000,2027-08-09 00:00:00.000,Comercial,Mini Bus,73,CORREDORES,0.0012264840182648,3,0,Banca Seguros,6953,0,0,1
3-488270-0,2024-02-16 00:00:00.000,2025-02-16 00:00:00.000,Particular,Camioneta,Empresa,CORREDORES,0.0023561020036429,6,1,Valdivia Dealer,2969,0,1,1
74-675522-38,2024-07-11 00:00:00.000,2024-11-30 00:00:00.000,Escuela de Conductores,Station Wagon,52,CORREDORES,0.0014319248826291,-15,0,HDI Santiago,6344,1,0,1
74-783528-0,2025-06-23 00:00:00.000,2026-06-23 00:00:00.000,Particular,Station Wagon,33,DEALERS,0.0013324200913242,10,0,HDI.CL,1080,0,0,0
90-414622-0,2024-07-29 00:00:00.000,2025-07-29 00:00:00.000,Particular,Station Wagon,35,DEALERS,0.0012812785388127,10,1,Casa Matriz Santiago Dealer,8579,0,0,0
85-93754-0,2025-10-31 00:00:00.000,2026-10-31 00:00:00.000,Escuela de Conductores,Mini Bus,Empresa,CORREDORES,0.0021972602739726,-4,1,HDI Club,3253,0,1,1
96-477614-0,2024-09-07 00:00:00.000,2025-09-07 01:00:00.000,Escuela de Conductores,Station Wagon,68,DEALERS,0.0016931506849315,10,1,Casa Matriz Santiago Dealer,6147,0,0,0
116-32304-0,2025-10-02 00:00:00.000,2024-05-23 00:00:00.000,Particular,Automóvil,54,MASIVO,0.0012894977168949,-13,0,CM Falabella,2457,0,0,1
85-66608-32,2024-01-28 00:00:00.000,2025-01-28 00:00:00.000,Comercial,Chasis Combinado,Empresa,CORREDORES,0.0013624772313296,0,1,Concepción,5348,1,1,1
74-732239-0,2024-09-05 00:00:00.000,2025-09-05 00:00:00.000,Escuela de Conductores,Jeep,54,DIRECTO,0.0018338143309359982,10,1,HDI.CL,8414,0,0,0
115-17561-0,2025-12-31 00:00:00.000,2026-11-20 00:00:00.000,Otros usos comerciales distint,Camioneta,Empresa,CORREDORES,0.0032831153615927337,0,1,Banca Seguros,2556,0,1,1
74-811694-0,2025-04-15 00:00:00.000,2026-08-24 00:00:00.000,Escuela de Conductores,Station Wagon,54,CORREDORES,0.00011186649208814927,0,0,Partners,5072,1,1,1
74-693021-1,2024-03-11 00:00:00.000,2025-03-11 00:00:00.000,Transporte de Carga,Camión,51,CORREDORES,0.0008885713242009,0,1,Iquique,5268,1,0,0
74-811694-0,2024-01-16 00:00:00.000,2024-05-23 00:00:00.000,Particular,Automóvil,54,DEALERS,0.0018426812585499,5,1,Vina del Mar Dealer,7883,0,0,0
74-796177-0,2025-08-01 00:00:00.000,2026-08-01 00:00:00.000,Particular,Station Wagon,35,DIRECTO,0.001124200913242,10,1,HDI.CL,1080,0,0,0
3-540225-0,2025-04-05 00:00:00.000,2026-04-05 00:00:00.000,Comercial,Station Wagon,Empresa,DEALERS,0.0039461187214611,10,1,Banca Seguros,2556,0,1,1
